Gender,Branch,College_Tier,CGPA,Internships,Projects,Aptitude_Score,Communication_Score,Technical_Score,Backlogs,Attendance_Percentage,Certifications,Coding_Rating,Placement,Salary_LPA
Male,IT,Tier 2,6.36,5,9,68,64,81,2,87.24,2,1575,1,15.89
Male,EEE,Tier 3,5.63,1,8,98,85,48,3,78.03,6,1989,0,0
Male,EEE,Tier 3,8.05,0,8,96,76,83,2,68.51,3,1589,0,0
Male,CIVIL,Tier 3,6.67,5,4,90,59,54,0,60.12,6,1277,0,0
Female,EEE,Tier 1,8.22,2,1,62,53,93,2,86.82,1,1881,1,17.59
Male,IT,Tier 3,5.61,0,7,55,59,99,3,60.02,5,1687,0,0
Female,EEE,Tier 3,7.38,1,3,85,75,85,3,97.32,4,1509,0,0
Female,IT,Tier 3,6.14,3,4,73,95,78,0,77.38,6,1749,0,0
Female,ECE,Tier 2,8.09,3,4,73,69,98,3,95.56,2,1379,1,17.97
Female,IT,Tier 3,5.62,4,7,67,78,53,0,61.5,3,956,0,0
Female,EEE,Tier 3,9.61,4,2,62,65,88,1,63.93,4,1111,0,0
Male,EEE,Tier 3,8.42,5,5,93,61,51,2,76.23,6,1795,0,0
Female,MECH,Tier 3,8.64,1,8,84,61,97,0,76.11,5,1920,1,18.06
Male,IT,Tier 2,6.47,4,1,40,92,49,0,77.78,7,1927,0,0
Male,EEE,Tier 3,7.07,2,6,86,71,67,1,83.63,3,1677,0,0
Female,CIVIL,Tier 1,8.36,5,2,90,68,52,2,87.29,3,1399,1,17.92
Male,IT,Tier 3,7.99,4,8,52,81,72,0,94.15,7,1615,0,0
Male,CIVIL,Tier 1,9.96,5,8,86,54,53,3,72.67,6,1141,1,19.05
Female,EEE,Tier 1,7.37,5,8,85,42,84,4,80.54,6,1682,1,17.55
Female,CIVIL,Tier 1,9.6,2,4,90,67,69,0,85.63,6,1776,1,18.87
Male,EEE,Tier 3,9.08,5,7,94,96,78,1,83.83,3,1281,1,18.45
Male,CSE,Tier 2,5.6,2,3,57,67,66,3,77.77,4,1616,0,0
Male,CIVIL,Tier 2,7.68,4,2,41,82,98,0,70.81,2,1174,1,16.58
Female,MECH,Tier 2,8.24,2,3,49,63,86,2,96.89,5,1415,0,0
Female,CSE,Tier 2,5.21,0,1,63,44,54,0,95.84,5,1363,0,0
Male,EEE,Tier 3,7.42,1,6,83,45,48,0,61.23,3,1112,0,0
Male,CSE,Tier 2,5.3,5,2,87,77,79,1,66.99,6,1022,1,14.22
Female,IT,Tier 3,9.69,5,4,57,71,40,2,85.92,7,942,0,0
Female,MECH,Tier 2,6.92,3,5,43,97,47,1,70.55,7,1786,0,0
Female,IT,Tier 3,9.2,2,7,72,73,78,3,90,6,1539,0,0
Female,EEE,Tier 1,9.65,3,8,71,94,47,2,83.83,4,1768,1,19.54
Male,CSE,Tier 3,6.83,3,1,92,44,50,2,97.89,2,1972,0,0
Female,MECH,Tier 2,6.01,4,3,81,98,84,0,65.34,7,1881,1,15.53
Male,EEE,Tier 1,7.83,3,7,55,64,95,2,88.34,2,1542,1,17.79
Female,EEE,Tier 1,7.51,0,8,41,51,43,2,62.42,3,1912,0,0
Female,EEE,Tier 1,9.97,3,9,58,65,57,4,96.11,7,1007,1,18.99
Male,MECH,Tier 3,8.13,1,4,66,84,57,0,70.7,0,1609,0,0
Female,MECH,Tier 2,6.1,5,6,81,61,95,2,61.3,2,1685,1,15.11
Female,MECH,Tier 3,9.27,2,5,53,68,57,2,93.17,5,1131,0,0
Female,IT,Tier 2,9.86,1,6,69,65,69,2,95.89,5,1933,1,19
Female,CSE,Tier 2,9.53,0,7,89,87,44,4,77.58,4,1095,0,0
Male,EEE,Tier 1,9.18,2,3,80,84,57,0,71.55,1,1823,1,17.39
Male,EEE,Tier 3,8.05,5,6,96,55,43,1,94.9,7,1905,0,0
Female,EEE,Tier 1,6.31,5,9,40,71,84,4,84.41,5,1272,1,14.65
Female,MECH,Tier 2,7.27,4,2,71,61,85,2,93.6,5,1281,1,15.74
Male,CSE,Tier 1,6.68,1,2,67,71,83,2,60.41,0,977,1,12.34
Male,CSE,Tier 1,5.01,5,6,71,49,64,2,88.41,0,957,1,12.81
Male,ECE,Tier 1,6.89,4,6,92,84,85,0,96.56,4,1378,1,15.26
Male,ECE,Tier 2,7.34,3,2,57,50,87,4,93.17,5,958,0,0
Male,ECE,Tier 3,7.65,3,9,47,74,65,1,79.69,4,877,0,0
Female,EEE,Tier 3,9.21,0,2,77,55,96,4,65.54,7,1448,0,0
Male,EEE,Tier 3,8.21,3,5,52,81,83,2,95.51,5,1990,0,0
Male,CSE,Tier 1,7.06,2,3,64,64,74,0,80.03,2,1118,1,13.62
Female,EEE,Tier 3,5.81,4,7,69,74,97,3,84.78,0,998,0,0
Female,ECE,Tier 2,7.16,1,7,63,67,64,0,86.08,5,1176,1,13.57
Female,MECH,Tier 3,5.51,1,2,41,93,69,1,85.65,0,1816,0,0
Female,CSE,Tier 1,7.44,4,2,84,91,79,1,91.05,7,1529,1,16.28
Male,EEE,Tier 1,8.02,4,6,73,96,44,4,78.23,3,1341,1,16.86
Male,CSE,Tier 1,8.59,2,3,66,43,60,2,92.05,3,1013,1,15.76
Female,CSE,Tier 3,5.58,4,6,76,42,64,1,71.62,5,1938,0,0
Male,ECE,Tier 1,6.79,3,9,51,43,53,0,88.59,6,1915,1,15.02
Male,IT,Tier 2,9.76,3,8,68,96,46,3,96.65,6,1905,1,19.5
Female,MECH,Tier 2,5.23,1,3,53,97,97,4,69.02,0,1032,0,0
Female,CSE,Tier 1,5.29,2,8,96,66,98,2,84.57,7,1177,1,12.25
Female,EEE,Tier 3,8.85,0,3,69,77,40,4,79.41,0,1880,0,0
Female,IT,Tier 1,9.83,2,1,70,96,96,2,73.9,3,1972,1,21.57
Male,EEE,Tier 2,9.8,0,1,95,74,74,2,65,0,1781,1,18.31
Female,EEE,Tier 3,9.06,3,7,64,84,81,2,84.01,4,1574,0,0
Male,ECE,Tier 3,8.5,0,6,64,43,60,2,66.17,5,1183,0,0
Female,MECH,Tier 2,8.8,5,5,80,59,64,1,95.42,6,1524,1,17.43
Female,IT,Tier 2,6.21,5,6,63,64,91,0,73.42,6,1929,1,16.41
Male,CIVIL,Tier 1,8.34,3,5,65,87,44,3,79.75,1,896,1,14.87
Female,EEE,Tier 1,8.05,0,4,78,86,56,4,77.66,2,1486,1,14.48
Male,CIVIL,Tier 3,7,0,7,91,56,66,0,74.1,3,1207,0,0
Female,IT,Tier 1,8.96,1,6,88,74,81,1,73.66,6,1361,1,16.92
Male,MECH,Tier 2,8.99,3,4,42,47,80,3,77.53,3,1878,1,18.29
Male,EEE,Tier 3,8,1,6,85,89,48,4,67.75,3,1750,0,0
Male,MECH,Tier 1,7.96,1,4,87,77,73,3,93.27,7,805,1,14.96
Male,CIVIL,Tier 1,9.23,2,3,72,89,85,1,87.13,7,1902,1,18.7
Male,CSE,Tier 1,7.92,2,2,61,51,85,2,72.97,0,957,1,14.72
Male,EEE,Tier 2,5.28,5,6,52,63,71,4,93.48,5,1463,0,0
Male,CSE,Tier 2,5.03,4,1,87,47,65,4,86.27,6,1458,0,0
Female,EEE,Tier 1,8.71,5,7,63,71,74,1,66.07,2,1176,1,19.27
Male,IT,Tier 3,7.35,4,2,83,73,96,4,97.74,4,1793,0,0
Male,CIVIL,Tier 2,6.11,0,9,79,94,74,3,70.57,7,1092,0,0
Male,IT,Tier 1,8.37,1,1,82,80,75,2,69.64,6,1208,1,17.1
Female,CIVIL,Tier 1,5.38,0,7,59,90,78,2,78.17,3,1973,1,11.72
Male,EEE,Tier 2,6.81,4,8,64,62,55,1,99.61,0,1116,1,12.97
Male,IT,Tier 1,7.41,0,6,64,98,65,1,74.64,7,1014,1,11.55
Female,ECE,Tier 3,7.91,0,2,75,71,65,4,70.36,6,954,0,0
Male,CSE,Tier 3,5.8,1,9,52,58,73,2,70.65,4,1464,0,0
Male,CIVIL,Tier 3,9.11,0,7,57,47,90,2,83.4,4,865,0,0
Male,EEE,Tier 3,9.69,0,2,67,78,44,3,77.01,7,1435,0,0
Female,EEE,Tier 1,8.24,1,3,40,96,63,1,75.02,4,1259,1,16.28
Female,EEE,Tier 2,7.64,5,2,56,56,96,4,92.39,2,1686,1,17.13
Male,IT,Tier 3,9.39,2,6,98,44,99,0,77.25,6,1648,1,18.62
Female,CIVIL,Tier 1,8.42,3,2,56,59,68,3,65.28,7,1262,1,15.58
Male,CIVIL,Tier 1,9.44,2,4,57,67,65,3,95.91,0,1941,1,19.42
Male,CIVIL,Tier 1,8.15,3,2,87,88,52,1,68.28,1,1910,1,18.08
Female,ECE,Tier 1,5.72,4,9,86,73,76,4,83.45,1,1707,1,14.39
Male,MECH,Tier 1,5.69,3,4,54,50,91,1,99.7,5,1674,1,15.05
Female,CIVIL,Tier 1,7.72,5,7,92,92,55,0,80.81,3,1798,1,17.24
Male,ECE,Tier 2,9.35,3,2,93,70,63,2,71.56,1,842,1,18.35
Female,MECH,Tier 1,5.86,2,7,63,56,61,2,68.06,2,1061,1,11.67
Male,IT,Tier 3,7.92,4,9,85,69,45,2,66.92,6,1381,0,0
Male,MECH,Tier 3,7.87,1,4,43,54,43,3,98.11,2,1546,0,0
Female,MECH,Tier 3,6.98,0,7,46,74,86,4,82.7,1,1799,0,0
Male,ECE,Tier 2,6.28,0,6,80,42,92,1,98.62,5,1565,0,0
Female,CIVIL,Tier 3,5.11,0,3,65,54,65,2,97.78,2,923,0,0
Male,CSE,Tier 1,6.47,4,1,97,47,72,2,75.03,0,1569,1,15.78
Female,IT,Tier 2,7.5,0,5,46,45,46,1,94.77,2,886,0,0
Male,ECE,Tier 3,5.75,2,4,76,71,96,4,86.48,7,1171,0,0
Female,CSE,Tier 2,9.99,4,4,71,40,85,0,74.32,6,908,1,19.31
Male,IT,Tier 2,8.39,4,5,51,92,86,0,76.16,5,1579,1,18.31
Male,MECH,Tier 2,6.77,1,6,63,81,57,1,82.45,4,1544,0,0
Female,MECH,Tier 1,7.75,1,4,88,94,83,3,90.82,1,1906,1,16.73
Female,CSE,Tier 2,9.25,5,3,63,95,81,1,90.48,3,1205,1,19.68
Male,CSE,Tier 2,6.99,4,1,81,50,75,0,85.7,5,1674,1,15.64
Male,CSE,Tier 1,7.86,5,4,57,56,55,2,68.21,1,1521,1,17.46
Female,MECH,Tier 1,5.22,2,9,68,79,95,1,68.21,3,1168,1,10.97
Male,MECH,Tier 3,7.38,0,7,53,63,45,2,90.7,7,1314,0,0
Male,ECE,Tier 1,7.52,2,9,93,93,79,0,72.86,7,1015,1,15.11
Female,CIVIL,Tier 2,5.69,0,6,48,92,96,1,62.49,6,1315,0,0
Male,ECE,Tier 1,7.86,3,1,47,86,43,4,75.35,2,1370,0,0
Male,EEE,Tier 3,6.57,4,6,42,53,86,4,92.1,4,1105,0,0
Male,MECH,Tier 3,6.93,2,4,66,47,74,2,81.9,2,1425,0,0
Female,CSE,Tier 1,7.06,0,7,84,68,53,3,77.23,6,1953,1,13.81
Female,IT,Tier 2,5.64,1,2,75,95,41,3,71.69,5,825,0,0
Female,CSE,Tier 3,9.25,1,8,57,70,54,3,64.44,5,1858,0,0
Male,IT,Tier 2,6.46,4,9,84,67,81,3,91.58,1,1667,1,14.78
Female,ECE,Tier 1,8.38,3,7,49,46,87,4,82.07,4,800,1,16.87
Female,MECH,Tier 2,8.83,2,1,42,98,66,1,97.36,6,869,0,0
Male,CIVIL,Tier 2,6.82,2,5,91,44,54,0,86.08,2,976,0,0
Female,ECE,Tier 2,5.39,5,2,63,70,44,1,60.64,5,1110,0,0
Female,EEE,Tier 3,7.05,3,2,62,74,87,0,84.15,4,1770,0,0
Male,EEE,Tier 1,8.26,2,5,79,49,41,2,88.1,5,1967,1,15.6
Male,CIVIL,Tier 2,5.92,5,6,76,56,62,3,63.01,7,1414,0,0
Male,IT,Tier 3,8.04,0,3,94,62,84,4,68,0,1962,0,0
Female,IT,Tier 2,7.5,2,4,81,50,60,0,66.63,2,1157,0,0
Female,EEE,Tier 2,8.72,2,8,60,72,45,1,86.74,5,1345,1,16.07
Female,CSE,Tier 3,8.17,3,3,61,76,64,1,72.06,4,1726,0,0
Female,IT,Tier 3,9.28,2,2,72,97,55,4,84.31,2,1164,0,0
Female,EEE,Tier 3,7.45,5,6,41,53,96,4,89.61,6,1766,0,0
Female,CIVIL,Tier 2,5.32,5,4,71,92,97,3,95.16,4,845,1,12.39
Male,MECH,Tier 1,6.62,0,5,50,82,68,0,80.05,7,1536,1,13.18
Male,EEE,Tier 1,7.79,3,3,44,95,45,2,92.3,7,1925,1,17.31
Male,CSE,Tier 1,9.18,4,8,95,84,66,3,91.49,0,1317,1,17.81
Male,EEE,Tier 1,7.76,2,4,84,66,48,3,75.45,1,907,1,12.75
Female,MECH,Tier 2,8.01,1,4,66,71,72,0,88.38,5,1979,1,15.49
Male,ECE,Tier 3,6.75,4,3,93,64,74,4,68.56,1,1191,0,0
Male,CSE,Tier 3,6.93,4,6,88,49,63,3,65.85,4,1440,0,0
Male,IT,Tier 3,7.27,2,3,87,45,42,0,69.03,4,858,0,0
Female,ECE,Tier 3,9.18,3,7,51,75,51,2,81.96,7,1208,0,0
Male,IT,Tier 3,9.43,4,8,47,81,48,0,77.88,3,1077,0,0
Female,MECH,Tier 1,8.1,2,7,88,60,79,2,75.39,6,1173,1,16.15
Male,MECH,Tier 1,7.99,4,7,80,89,64,2,90.73,4,1640,1,16.74
Male,CSE,Tier 2,8.32,2,3,59,81,78,2,68.09,2,1809,1,17.65
Male,ECE,Tier 3,6.74,1,3,98,83,56,4,95.8,4,1454,0,0
Female,CSE,Tier 3,7.84,2,3,65,61,97,4,90.74,4,1800,0,0
Male,IT,Tier 2,9.48,3,8,54,94,74,4,79,1,1544,1,19.17
Female,CSE,Tier 2,9.14,3,4,47,57,85,4,71.49,7,1860,1,18.56
Male,ECE,Tier 2,8.46,4,2,88,96,90,3,67.82,5,1524,1,18
Male,EEE,Tier 2,9.42,2,7,67,89,41,0,76.26,0,842,1,15.84
Male,CIVIL,Tier 2,6.86,5,2,63,62,41,3,84.45,6,1887,0,0
Male,ECE,Tier 1,9.43,1,3,51,63,78,3,63.82,6,1784,1,17.22
Male,EEE,Tier 2,8.52,4,5,63,49,60,4,69.63,1,850,0,0
Female,CIVIL,Tier 1,7.95,0,9,40,49,91,3,98.55,7,1962,1,16.55
Female,MECH,Tier 3,5.81,2,6,96,41,82,3,79.72,2,1615,0,0
Male,MECH,Tier 1,8.71,3,3,40,64,48,3,68.4,1,1214,1,16.09
Female,IT,Tier 1,6.2,0,4,82,65,54,1,88.13,1,1585,1,12.21
Female,CIVIL,Tier 1,8.78,2,3,48,57,69,0,93.86,3,1123,1,15.62
Female,CSE,Tier 3,8.62,2,3,72,50,59,4,80.03,6,1797,0,0
Male,ECE,Tier 2,5.24,0,9,75,57,71,3,96.45,2,1690,0,0
Female,IT,Tier 1,5.72,1,3,96,57,61,2,83.45,2,879,0,0
Female,EEE,Tier 3,9.9,0,5,83,44,96,3,94,4,1897,0,0
Female,CIVIL,Tier 1,7.68,5,6,60,59,97,1,99.07,5,1326,1,17.83
Male,EEE,Tier 1,7.26,5,6,41,96,74,0,88.3,3,1427,1,16.56
Female,EEE,Tier 1,5.41,0,1,58,42,92,1,91.02,3,1328,0,0
Female,ECE,Tier 1,8.01,2,9,95,97,83,4,75.34,5,1257,1,16.18
Female,IT,Tier 3,6.14,3,1,82,54,49,4,89.03,0,1971,0,0
Male,CSE,Tier 1,6.43,1,4,95,53,80,1,82.06,2,1003,1,14.28
Male,CIVIL,Tier 1,9.27,3,2,95,77,91,2,81.14,1,1946,1,20.66
Male,CIVIL,Tier 2,6.18,3,1,80,65,92,2,89.37,3,1059,0,0
Female,CSE,Tier 1,5.79,3,6,54,98,58,1,89.55,2,1462,1,11.85
Male,IT,Tier 1,6.63,0,1,73,71,41,0,87.11,3,1356,0,0
Male,CIVIL,Tier 2,9.23,1,2,72,92,89,4,84.09,6,1234,1,17.26
Female,CIVIL,Tier 3,5.97,1,8,60,48,76,1,71.49,5,1074,0,0
Male,EEE,Tier 2,6.7,0,1,67,86,79,3,63.75,5,1345,0,0
Male,IT,Tier 3,7.81,1,4,72,55,91,1,88.32,6,1399,0,0
Male,ECE,Tier 1,8.45,5,6,62,96,62,0,75.57,4,1553,1,18.33
Female,MECH,Tier 2,9.7,5,7,71,98,40,3,98.97,3,852,1,17.26
Female,EEE,Tier 3,8.67,2,7,82,86,63,3,96.89,4,899,0,0
Female,CIVIL,Tier 1,9.87,2,1,48,94,63,0,77.2,0,1591,1,17.98
Male,EEE,Tier 3,9.71,3,8,59,54,45,2,77.88,3,1983,0,0
Female,ECE,Tier 1,5.51,2,7,93,62,87,3,60.24,6,1170,1,13.14
Male,MECH,Tier 1,9.39,1,7,79,95,80,0,65.16,5,1755,1,19.74
Female,CSE,Tier 3,7.58,5,4,44,46,74,2,66.26,4,804,0,0
Female,IT,Tier 2,6.22,3,2,94,40,96,1,98.84,1,1820,1,16.11
Male,EEE,Tier 1,6.05,4,1,86,52,58,1,78.04,6,1483,1,14.08
Female,MECH,Tier 2,6.34,4,3,51,43,42,0,83.31,3,851,0,0
Female,CIVIL,Tier 1,6.55,4,7,56,89,50,3,94.06,4,1058,1,15.03
Female,CSE,Tier 1,8.02,3,2,41,80,40,4,74.66,7,1048,0,0
Male,CIVIL,Tier 2,8.06,5,2,50,81,47,4,99.6,6,1786,0,0
Female,IT,Tier 3,7.49,4,2,57,91,46,4,72.54,1,1192,0,0
Male,EEE,Tier 2,8.35,1,2,54,49,43,0,63.74,5,935,0,0
Female,MECH,Tier 1,5.08,5,5,89,58,56,1,92.94,2,1487,1,13.31
Female,CSE,Tier 2,8.84,2,5,63,78,75,2,82.08,1,966,1,16.53
Female,IT,Tier 1,6.75,1,4,96,43,80,1,71.77,0,1275,1,12.7
Female,EEE,Tier 2,7.76,1,6,76,60,53,1,98.06,3,979,0,0
Male,IT,Tier 3,8.6,4,7,98,75,85,3,75.61,4,1758,0,0
Male,EEE,Tier 3,8.28,4,3,74,46,48,4,77.67,6,1896,0,0
Female,ECE,Tier 2,6.24,5,7,61,77,86,2,84.09,7,1601,1,14.51
Male,IT,Tier 2,8.86,1,3,65,63,99,2,75.53,0,1757,1,17.55
Male,IT,Tier 1,6.36,0,6,60,88,97,3,95.78,1,986,1,11.08
Female,ECE,Tier 3,5.9,0,9,71,67,49,1,84.68,2,874,0,0
Male,EEE,Tier 2,8.3,4,9,69,57,52,0,63.57,2,1998,1,17.74
Female,ECE,Tier 3,7.22,4,4,88,50,65,4,60.88,0,1464,0,0
Male,IT,Tier 1,5.01,0,5,81,69,48,4,77.75,6,1249,0,0
Male,CSE,Tier 1,6.07,0,9,52,77,50,1,96.67,7,1969,1,12.33
Female,CSE,Tier 3,9.51,4,3,47,67,71,4,80.24,4,979,0,0
Male,EEE,Tier 3,5.48,0,4,86,53,78,3,78.42,2,1100,0,0
Male,IT,Tier 2,6.42,2,6,79,53,60,0,75.01,3,1748,0,0
Male,EEE,Tier 2,9.17,2,9,57,91,88,1,83.13,7,1941,1,19.15
Female,CSE,Tier 1,9.87,3,5,81,48,52,2,62.64,6,856,1,18.27
Female,CSE,Tier 3,9.13,4,3,72,76,62,4,75.77,5,924,0,0
Male,EEE,Tier 3,7.37,4,7,69,96,90,1,94.54,1,1769,1,16.49
Female,EEE,Tier 2,6.01,4,6,80,82,54,0,73.36,3,1940,1,14.68
Male,CIVIL,Tier 1,6.14,0,6,75,42,68,4,84.25,3,1463,0,0
Female,CSE,Tier 3,7.28,3,4,90,44,48,4,91.72,1,1372,0,0
Male,EEE,Tier 3,7.7,5,8,45,91,54,4,81.52,2,1707,0,0
Male,IT,Tier 3,5.42,5,6,77,44,40,2,85.23,4,1486,0,0
Female,CIVIL,Tier 3,8.49,4,7,49,81,69,4,99.27,1,1644,0,0
Male,ECE,Tier 2,5.93,0,4,51,75,74,1,84.3,3,1869,0,0
Male,CIVIL,Tier 1,8.42,3,8,70,68,80,4,68.19,7,1135,1,17.54
Male,ECE,Tier 3,5.04,3,9,90,61,69,3,92.8,6,1609,0,0
Female,ECE,Tier 2,7.95,4,3,70,63,47,0,96.26,4,1235,1,14.93
Female,ECE,Tier 3,5.04,1,4,46,59,66,4,71.31,7,837,0,0
Male,ECE,Tier 3,7.27,3,1,58,59,79,3,63.65,6,1565,0,0
Male,CIVIL,Tier 2,8.79,4,1,59,51,41,0,94.56,6,1391,0,0
Female,IT,Tier 2,6.66,1,8,48,64,61,0,93.07,2,1873,0,0
Male,MECH,Tier 1,6.23,5,2,60,69,87,0,69.36,2,1846,1,17.32
Male,ECE,Tier 2,8.55,0,9,46,63,80,3,62.44,2,1378,0,0
Female,CIVIL,Tier 2,5.41,1,1,68,59,60,3,68.17,3,1603,0,0
Male,MECH,Tier 3,9.94,2,4,68,97,59,2,99.99,6,1983,0,0
Male,EEE,Tier 1,8.03,0,6,82,59,88,4,91.16,7,1461,1,15.56
Female,ECE,Tier 3,5.34,4,2,57,72,67,4,69.93,5,1090,0,0
Male,CIVIL,Tier 3,5.88,3,3,71,85,83,1,72.57,5,1451,0,0
Male,CSE,Tier 3,5.08,5,3,73,49,45,1,91.3,3,1841,0,0
Male,CIVIL,Tier 2,5.01,2,2,80,54,72,2,90.57,4,1551,0,0
Male,CSE,Tier 3,7.57,1,1,89,45,65,0,62.38,6,1175,0,0
Male,ECE,Tier 1,5.03,1,8,44,62,99,0,73.7,1,1484,1,11.59
Male,CSE,Tier 1,8.19,2,6,61,70,80,1,83.37,3,1271,1,16.28
Female,CSE,Tier 3,8.55,1,4,92,43,72,2,96.68,1,1568,0,0
Male,CIVIL,Tier 2,7.19,0,2,60,91,57,4,97.2,1,1437,0,0
Female,IT,Tier 1,5.65,1,1,43,61,85,0,93.37,5,948,1,12.3
Male,ECE,Tier 2,8,1,8,54,45,43,3,99.23,5,1592,0,0
Female,CSE,Tier 2,5.53,3,6,41,75,47,4,62.94,7,1903,0,0
Male,ECE,Tier 1,8.48,5,1,72,62,82,2,95.12,6,1193,1,17.29
Female,IT,Tier 3,6.33,2,1,86,90,61,0,91.08,4,1257,0,0
Male,ECE,Tier 3,9.46,4,9,62,77,43,2,74.84,6,1816,0,0
Male,ECE,Tier 2,9.32,3,2,80,53,95,3,77.5,0,1952,1,20.35
Female,ECE,Tier 1,6.36,4,5,40,79,77,2,61.72,6,903,1,13.34
Female,EEE,Tier 2,5.01,2,2,69,53,84,4,65.48,4,1261,0,0
Female,IT,Tier 3,7.43,4,7,49,55,88,1,97.97,7,1118,0,0
Male,ECE,Tier 2,6.31,4,6,65,94,48,1,93.01,6,1249,1,13.64
Female,CIVIL,Tier 3,7.38,5,4,78,90,41,3,97.93,5,1456,0,0
Male,IT,Tier 3,5.23,4,1,66,58,44,2,65.28,1,1457,0,0
Male,EEE,Tier 2,6.55,0,1,86,66,46,1,87.26,4,1733,0,0
Male,CIVIL,Tier 1,7.91,5,1,40,97,95,0,99.92,0,1147,1,17.02
Female,MECH,Tier 1,7.94,5,3,45,67,45,1,76.35,5,1962,1,17.2
Female,MECH,Tier 1,8.42,3,7,71,88,64,0,97.25,3,1348,1,17.78
Male,ECE,Tier 3,6.59,1,8,64,60,67,4,80.84,7,998,0,0
Female,MECH,Tier 2,7.73,1,3,87,40,97,2,64.07,5,1307,1,15.45
Female,ECE,Tier 1,5.4,3,3,71,59,64,4,68.32,3,1703,0,0
Female,CIVIL,Tier 3,7.26,0,8,55,64,52,4,61.11,1,1070,0,0
Female,EEE,Tier 1,8.95,0,4,79,93,82,3,97.14,6,1859,1,17.29
Male,EEE,Tier 2,7.67,1,3,60,91,78,2,83.02,4,1392,0,0
Male,CSE,Tier 3,9.7,4,8,56,76,76,1,72.15,5,1657,1,20.83
Female,IT,Tier 3,7.26,3,5,41,53,45,3,91.51,2,1148,0,0
Female,ECE,Tier 2,8.36,4,1,79,56,61,1,71.24,5,1883,1,17.72
Male,IT,Tier 1,7.4,1,2,94,55,78,2,95.45,1,1138,1,13.6
Female,CIVIL,Tier 3,7.4,1,4,85,51,84,0,90.96,2,1938,0,0
Female,CSE,Tier 1,6.91,2,2,49,67,85,3,69.39,4,1820,1,16.28
Female,ECE,Tier 2,5.23,0,1,65,67,87,0,95.63,2,1822,0,0
Male,CSE,Tier 1,7.02,2,6,97,74,84,2,86.57,3,1740,1,14.72
Female,CSE,Tier 1,6.6,3,3,94,77,41,1,96.76,6,1963,1,15.24
Female,MECH,Tier 3,6.05,1,6,76,76,49,2,86.35,4,1969,0,0
Female,IT,Tier 1,9.59,5,3,83,63,83,0,90.27,7,1441,1,21.61
Male,MECH,Tier 3,8.75,3,1,49,61,52,3,84.77,4,1939,0,0
Male,ECE,Tier 1,9.6,0,3,87,88,85,3,67.5,2,1667,1,17.8
Male,MECH,Tier 3,9.11,1,7,85,95,86,3,60.7,6,1501,0,0
Male,ECE,Tier 2,5.93,4,6,90,67,54,3,78.41,4,1483,0,0
Male,EEE,Tier 2,9.97,0,4,61,63,86,4,73.49,3,1791,1,19.27
Male,CIVIL,Tier 1,9.28,4,6,95,75,76,0,78.39,6,1115,1,18.9
Female,ECE,Tier 1,8.2,1,2,52,50,46,4,89.07,7,891,0,0
Female,IT,Tier 3,5.19,2,2,50,84,40,1,79.25,2,1846,0,0
Male,MECH,Tier 3,7.62,0,3,87,88,77,4,81.63,1,889,0,0
Male,IT,Tier 2,6.73,1,4,82,45,70,0,69.81,5,1386,0,0
Male,IT,Tier 3,9.19,5,6,52,40,66,2,95.94,7,840,0,0
Female,EEE,Tier 1,8.12,0,3,53,62,60,1,97.02,5,1920,1,15.48
Male,IT,Tier 2,7.23,2,6,79,68,48,2,90.24,1,1681,0,0
Male,IT,Tier 3,6.6,1,9,78,40,82,0,69.15,7,800,0,0
Male,CSE,Tier 1,8.22,4,2,72,75,87,0,75.89,7,895,1,16.73
Male,MECH,Tier 3,5.99,5,1,98,79,63,4,91.59,1,829,0,0
Male,CIVIL,Tier 2,8.91,2,3,86,69,94,2,60.41,4,1407,1,17.48
Male,MECH,Tier 2,5.06,4,8,69,48,68,2,85.81,0,1920,0,0
Female,IT,Tier 1,6.89,1,1,66,59,42,3,89.53,3,929,0,0
Female,CSE,Tier 2,8.51,5,5,44,98,63,4,77.99,2,1484,1,18.48
Female,CIVIL,Tier 2,6.58,3,9,90,77,60,1,96.47,1,1742,1,13.95
Female,EEE,Tier 1,6.16,0,6,82,61,50,1,83.33,3,1265,1,11.2
Female,EEE,Tier 3,7.81,3,9,80,66,66,4,77.21,6,1689,0,0
Male,ECE,Tier 1,8.68,2,4,92,49,55,3,89.67,0,1462,1,16.21
Female,EEE,Tier 2,5.66,5,9,71,87,72,2,83.04,7,1063,1,12.5
Male,IT,Tier 1,6.68,4,1,41,90,71,0,86.96,5,1695,1,16.48
Male,CIVIL,Tier 3,7.39,5,4,63,98,41,1,82.89,5,1175,0,0
Male,CSE,Tier 3,5,2,7,98,81,48,1,93.43,5,1911,0,0
Male,MECH,Tier 2,8.73,3,9,91,43,95,2,96.97,6,1007,1,16.53
Male,IT,Tier 2,9.07,4,1,74,91,62,3,93.78,2,1444,1,17.38
Male,ECE,Tier 2,6.56,4,4,75,44,87,4,90.6,6,1431,0,0
Male,EEE,Tier 3,8.24,3,8,94,58,67,4,66.75,3,1774,0,0
Female,MECH,Tier 3,5.26,0,4,76,62,79,4,69.54,4,1404,0,0
Female,EEE,Tier 3,5.41,3,9,46,90,82,3,95.29,7,1596,0,0
Male,CIVIL,Tier 1,5.41,3,9,77,78,77,0,94.9,4,905,1,13.39
Female,EEE,Tier 3,9.83,4,9,62,84,53,4,93.13,7,1138,0,0
